Таблица идентификаторов
Идентификатор                         | Тип данных        | Тип идентификатора     | Индекс в таблице лексем     | Значение
sum                                   | float             | функция                | Из статической библиотеки   | Не определено
minus                                 | float             | функция                | Из статической библиотеки   | Не определено
mult                                  | float             | функция                | Из статической библиотеки   | Не определено
division                              | float             | функция                | Из статической библиотеки   | Не определено
a.$l0.main.$                          | float             | переменная             | 2                           | Не определено
literal                               | float             | литерал                | 6                           | 0,230000
literal                               | num               | литерал                | 9                           | 0
literal                               | num               | литерал                | 11                          | 1
literal                               | string            | литерал                | 18                          | A это целочисленный тип
literal                               | string            | литерал                | 26                          | А это не целочисленный тип
literal                               | num               | литерал                | 31                          | 0

